index,symbol
1405,ORBTEXP
1406,ORCHPHARMA
1407,ORIANA
1408,ORICONENT
1409,ORIENTALTL
1410,ORIENTBELL
1411,ORIENTCEM
1412,ORIENTCER
1413,ORIENTELEC
1414,ORIENTHOT
1415,ORIENTLTD
1416,ORIENTPPR
1417,ORIENTTECH
1418,ORISSAMINE
1419,ORTINGLOBE
1420,OSELDEVICE
1421,OSIAHYPER
1422,OSWALAGRO
1423,OSWALGREEN
1424,OSWALSEEDS
1425,OWAIS
1426,PAGEIND
1427,PAISALO
1428,PAKKA
1429,PALASHSECU
1430,PANACEABIO
1431,PANACHE
1432,PANAMAPET
1433,PAR
1434,PARACABLES
1435,PARADEEP
1436,PARAGMILK
1437,PARAS
1438,PARASPETRO
1439,PARKHOTELS
1440,PARSVNATH
1441,PASUPTAC
1442,PATANJALI
1443,PATELENG
1444,PATINTLOG
1445,PAVNAIND
1446,PAYTM
1447,PCBL
1448,PCJEWELLER
1449,PDMJEPAPER
1450,PDSL
1451,PEARLPOLY
1452,PENIND
1453,PENINLAND
1454,PERSISTENT
1455,PETRONET
1456,PFC
1457,PFIZER
1458,PFOCUS
1459,PFS
1460,PGEL
1461,PGHH
1462,PGHL
1463,PGIL
1464,PHANTOMFX
1465,PHOENIXLTD
1466,PIDILITIND
1467,PIGL
1468,PIIND
1469,PILANIINVS
1470,PILITA
